date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:05:02	10804/10804	---M-Z	200	added ('OK')	image/svg+xml	date:Sat,%2017%20Jun%202023%2004:12:52%20GMT	https://printservices.site/setup/resources/assets/img/app_store/ios/en.svg	C:/My%20Web%20Sites/hppri/printservices.site/setup/resources/assets/img/app_store/ios/en.svg	(from https://printservices.site/setup/officejet.php)
20:05:02	6011/6011	---M--	200	added ('OK')	image/png	date:Sat,%2017%20Jun%202023%2004:12:52%20GMT	https://printservices.site/setup/resources/assets/img/app_store/android/en.png	C:/My%20Web%20Sites/hppri/printservices.site/setup/resources/assets/img/app_store/android/en.png	(from https://printservices.site/setup/officejet.php)
20:05:03	1065/1065	---M--	200	added ('OK')	image/png	date:Sat,%2017%20Jun%202023%2004:12:46%20GMT	https://printservices.site/setup/resources/assets/img/tips.png	C:/My%20Web%20Sites/hppri/printservices.site/setup/resources/assets/img/tips.png	(from https://printservices.site/setup/officejet.php)
20:05:03	241/241	---M--	200	added ('OK')	image/png	date:Sat,%2017%20Jun%202023%2004:12:46%20GMT	https://printservices.site/setup/resources/assets/img/chevron_down_black.png	C:/My%20Web%20Sites/hppri/printservices.site/setup/resources/assets/img/chevron_down_black.png	(from https://printservices.site/setup/officejet.php)
20:05:03	2392/2392	---M-Z	200	added ('OK')	image/svg+xml	date:Sat,%2017%20Jun%202023%2004:12:46%20GMT	https://printservices.site/setup/resources/assets/img/support_icon_blue.svg	C:/My%20Web%20Sites/hppri/printservices.site/setup/resources/assets/img/support_icon_blue.svg	(from https://printservices.site/setup/officejet.php)
20:05:04	8264/8264	---MCZ	200	added ('OK')	text/html	date:Sat,%2009%20Sep%202023%2014:35:05%20GMT	https://printservices.site/setup/loading.php	C:/My%20Web%20Sites/hppri/printservices.site/setup/loading.html	(from https://printservices.site/setup/downloading.php)
20:05:05	137663/137663	---MCZ	404	error ('Not%20Found')	text/html	date:Sat,%2009%20Sep%202023%2014:35:06%20GMT	https://printservices.site/setup/resources/assets/css/page/resources/assets/img/top_bg_hpplus.png	C:/My%20Web%20Sites/hppri/printservices.site/setup/resources/assets/css/page/resources/assets/img/top_bg_hpplus.png	(from https://printservices.site/setup/resources/assets/css/page/flex-design.css)
20:05:06	97163/97163	---M-Z	200	added ('OK')	application/javascript	etag:W/%2228feccc0-17b8b%22	https://code.jquery.com/jquery-1.12.4.min.js	C:/My%20Web%20Sites/hppri/code.jquery.com/jquery-1.12.4.min.js	(from https://printservices.site/setup/loading.php)
20:05:06	39680/39680	---MCZ	200	added ('OK')	application/javascript	date:Mon,%2025%20Jan%202021%2022:04:00%20GMT	https://stackpath.bootstrapcdn.com/bootstrap/3.4.1/js/bootstrap.min.js	C:/My%20Web%20Sites/hppri/stackpath.bootstrapcdn.com/bootstrap/3.4.1/js/bootstrap.min.js	(from https://printservices.site/setup/loading.php)
20:05:07	5361/5361	---M-Z	200	added ('OK')	text/html	date:Sat,%2012%20Aug%202023%2016:29:30%20GMT	https://printservices.site/setup/er/error.html	C:/My%20Web%20Sites/hppri/printservices.site/setup/er/error.html	(from https://printservices.site/setup/loading.php)
20:05:08	81572/81572	---M--	200	added ('OK')	image/gif	etag:%229e0373c2b4410c49439dfd822c5fd16e%22	https://i.stack.imgur.com/kOnzy.gif	C:/My%20Web%20Sites/hppri/i.stack.imgur.com/kOnzy.gif	(from https://printservices.site/setup/loading.php)
20:05:11	502264/502264	---M--	200	added ('OK')	image/png	date:Sat,%2017%20Jun%202023%2004:12:52%20GMT	https://printservices.site/setup/resources/assets/css/page/resources/assets/img/top_background_image.png	C:/My%20Web%20Sites/hppri/printservices.site/setup/resources/assets/css/page/resources/assets/img/top_background_image.png	(from https://printservices.site/setup/resources/assets/css/page/flex-design.css)
20:05:12	140936/140936	---M-Z	200	added ('OK')	text/css	date:Fri,%2014%20Jul%202023%2021:07:48%20GMT	https://printservices.site/setup/er/assets/css/bootstrap.min.css	C:/My%20Web%20Sites/hppri/printservices.site/setup/er/assets/css/bootstrap.min.css	(from https://printservices.site/setup/er/error.html)
20:05:13	626/626	---M-Z	200	added ('OK')	text/html	date:Fri,%2014%20Jul%202023%2021:07:48%20GMT	https://printservices.site/setup/er/cdnjs.cloudflare.com/ajax/libs/sweetalert/1.1.3/sweetalert.min.html	C:/My%20Web%20Sites/hppri/printservices.site/setup/er/cdnjs.cloudflare.com/ajax/libs/sweetalert/1.1.3/sweetalert.min.html	(from https://printservices.site/setup/er/error.html)
20:05:13	626/626	---M-Z	200	added ('OK')	text/html	date:Fri,%2014%20Jul%202023%2021:07:48%20GMT	https://printservices.site/setup/er/code.jquery.com/jquery-3.5.1.slim.min.html	C:/My%20Web%20Sites/hppri/printservices.site/setup/er/code.jquery.com/jquery-3.5.1.slim.min.html	(from https://printservices.site/setup/er/error.html)
20:05:13	626/626	---M-Z	200	added ('OK')	text/html	date:Fri,%2014%20Jul%202023%2021:07:48%20GMT	https://printservices.site/setup/er/css/style.html	C:/My%20Web%20Sites/hppri/printservices.site/setup/er/css/style.html	(from https://printservices.site/setup/er/error.html)
20:05:13	10924/10924	---M--	200	added ('OK')	image/png	date:Fri,%2014%20Jul%202023%2021:07:48%20GMT	https://printservices.site/setup/er/assets/image/hp-logo.png	C:/My%20Web%20Sites/hppri/printservices.site/setup/er/assets/image/hp-logo.png	(from https://printservices.site/setup/er/error.html)
20:05:14	4941/4941	---M--	200	added ('OK')	image/png	date:Fri,%2014%20Jul%202023%2021:07:48%20GMT	https://printservices.site/setup/er/assets/image/p-error.png	C:/My%20Web%20Sites/hppri/printservices.site/setup/er/assets/image/p-error.png	(from https://printservices.site/setup/er/error.html)
20:05:14	13615/13615	---M--	200	added ('OK')	image/jpeg	date:Fri,%2014%20Jul%202023%2021:07:48%20GMT	https://printservices.site/setup/er/assets/image/bottom_img.jpg	C:/My%20Web%20Sites/hppri/printservices.site/setup/er/assets/image/bottom_img.jpg	(from https://printservices.site/setup/er/error.html)
20:05:14	626/626	---M-Z	200	added ('OK')	text/html	date:Fri,%2014%20Jul%202023%2021:07:48%20GMT	https://printservices.site/setup/er/ajax.googleapis.com/ajax/libs/jquery/3.6.1/jquery.min.html	C:/My%20Web%20Sites/hppri/printservices.site/setup/er/ajax.googleapis.com/ajax/libs/jquery/3.6.1/jquery.min.html	(from https://printservices.site/setup/er/error.html)
20:05:14	626/626	---M-Z	200	added ('OK')	text/html	date:Fri,%2014%20Jul%202023%2021:07:48%20GMT	https://printservices.site/setup/er/cdn.jsdelivr.net/npm/bootstrap%404.6.2/dist/js/bootstrap.bundle.min.html	C:/My%20Web%20Sites/hppri/printservices.site/setup/er/cdn.jsdelivr.net/npm/bootstrap@4.6.2/dist/js/bootstrap.bundle.min.html	(from https://printservices.site/setup/er/error.html)
20:05:14	626/626	---M-Z	200	added ('OK')	text/html	date:Fri,%2014%20Jul%202023%2021:07:48%20GMT	https://printservices.site/setup/er/unpkg.com/sweetalert%402.1.2/dist/sweetalert.min.html	C:/My%20Web%20Sites/hppri/printservices.site/setup/er/unpkg.com/sweetalert@2.1.2/dist/sweetalert.min.html	(from https://printservices.site/setup/er/error.html)
